,Reviews,Time
16," Short and Sweet. This airport is quick and convenient. Might be the easiest airport to get in and out of that I have ever been to. Short lines everywhere, only downside is, shops and restaurants/bars close super early!!  They need more amenities! But, if you want to travel and do it in an efficient manner, this is a great spot!",Before
17," Parking stinks. Close in parking full, picking up handicapped person. Person at pay area said take a shuttle and i said even for handicapped definitely poor answer. Use satellite parking they will at least take you to your car!",Before
18," Apparently I've never hit the Southwest counter when there's a delay. So, much of this downgrade is Southwest-counter-specific and AUS is still as good as it gets, but it pains me to say it's not the trouble-free experience it usually is if there's ANY issues anywhere at all. The big problem? Southwest has one line. One. Single. Line. That line moves along at an okay pace as herds of families and groups move on all as one, but why is there no baggage only line? Yo, I have my ticket printed. Lemme through to just drop this bag. Baltimore's Southwest counter pulls this, too, so it's not an Austin-specific problem, but since Austin's row of Southwest counters is that much shorter, the line doesn't move quite as fast. Seriously, dudes--please add a baggage-only line! Some of us don't need full service. Back-ups in our humble little airport are baaaaad. I got stuck in the delay aftermath of the mid-Atlantic states getting pounded with storms, and oof! People everywhere. Long lines everywhere. Fortunately, the TSA is pretty good about plucking people over to the priority line when they can to alleviate that line as well and give folks who may have trouble standing for longer periods of time (elderly travelers, usually) a break. Luckily, the Amy's counter had a short line and moved me through fast, so I at least got to wait it out with Shiner ice cream with delicious dark chocolate chunks on top. That's part of why I like our airport so much (woo Amy's!), but I can't wait for it to finally expand!",Before
19," Having dealt with other airports, I must say--I really like our airport. The TSA is annoying security theater, bound to make you feel like a terrorist for forgetting to take out a simple set of nail clippers or for bringing aboard one more ounce of sunscreen in a single container. Excuse me, if you're going to try taking over a plane with a set of nose hair trimmers, you're probably going to get kicked in the balls before you get anywhere with that. Security theater, however, is a universal complaint with all the airports in the country, though. I have never been hassled by our TSA dudes or lost anything in line, but then again, I'm a relatively harmless looking white woman. YMMV, and I hate that it's a fact that I have to type out that caveat. That being said, they've always been pretty friendly to me. The line moves extraordinarily fast compared to many other airports in the country and it's never a huge hassle to get through. Once you're past security, there isn't a lot you'll be missing on the outside. There are a lot of local eateries to peruse, including coffee that's far better than your usual airport Starbucks. Saxon Pub and Amy's are the real treats. On the other hand, Maudie's breakfast tacos weren't as good as their non-airport counterpart's, and Salt Lick's tacos are just as overrated as their restaurant. (I will inevitably give Maudie's breakfast tacos a second try, though, because they're breakfast tacos and they're there.)Best of all, everything is well-marked and easy to find. Yes, it's a smaller airport, which helps, but clear signage is key here. It's bright, clean and there's even slow, but functional free wifi now. Staff is friendly, baggage is easy to find on well-marked kiosks when you land, and it's not a perpetually wind-beaten location like DFW. (I hate flying. I hate turbulence. Not being in a ridiculously windy spot helps a lot with smooth landings and take-offs!)We're truly spoiled, and I think as far as airports go, AUS is as good as it gets.",Before
20," I think this airport is good because you can typically get to and through it in a relatively good amount of time. If you know how to work your way through the airport you can get here an hour before flight time even on a Monday morning and get through security and grab a few breakfast tacos and make it to your gate just in time to get your boarding group. Pickup and drop off here is relatively easy as well.  I've gone through SFO, ATL, LAX and O'Hare and AUS is amazing in comparison.",Before
21," Pretty nice airport.  Arriving and departing were relatively simple, though the lines looked daunting.  The name makes me think of Green Bay's airport- Austin Straubel- though the size, and climate outside, are very different.  Parking, security, check-in, bathrooms, charging points- all good not great.  It's clean, and there's a nice selection of food and shops.  We'll be back, and won't be too annoyed about it.",Before
22," Funniest part of this airport is that all the food seems to be fried or tex-mex. PLUS they have live music through out. Oh Texas, Who would have thunk it?",Before
23," Great airport with easy access in and out. Parking is expensive for short term but you can use Fast Park for a less expensive solution. ABIA is very modern with local eats from some of the city's famous locations. Don't miss the Salt Lick if you're visiting and want some great BBQ! Another one is Maudie's for Mexican food! (Breakfast tacos) To top it off for dessert, hit up Amy's ice cream! My favorite is the Mexican vanilla! Back to the airport... Ha! Have fun traveling through ABIA and keep Austin weird!!",Before
24," I can't believe they do not have free Wi-Fi at this airport. I do not rate an airport based on other people's products: i.e. restaurants, available goods and services etc.The only reason I'm giving 2 stars is because it is clean, easy to get around and good parking. But in this day and age I have never been to an airport (world traveler) that does not have free Wi-Fi.",Before
25," This airport was so awesome!I couldn't believe how stress-free it was, even in the afternoon.It was so quick, security was a breeze, and such an amazing staff. :)When I arrived from Los Angeles, back to Austin, the same kind of friendliness. :)Baggage claim was very quick too.The minute I got to the bottom of the stairs and to baggage claim, the bags were already coming down. Absolutely love it and I'll definitely be using this airport from now on.",Before
26," Things that make for a good airport in my book...clear signage, appropriate climate control, helpful staff. And the Austin airport has those. Plus by the minute massage centers and shopping and some exhibits from a vintage toy collection.The food choices were tough on me since they were all really meaty. But I really appreciated the massage spot since I was there a little early for my flight. Lots of southwest comfy chairs with charging stations. And the pretty much everyone I met was polite. So Yay for an easy experience.",Before
32," I didn't spend too much time at this airport since we were staying pretty close and my flight was on time (yay!) but a few observations. -- New signage. Looks like yellow poster board with black stickers on it to direct the overflowing customers around the airport. -- Maybe a little upgrade to the announcement speakers? Couldn't hear anything the Southwest Agent was saying regarding the flight. Just noticed when the flow of people were walking toward the gate. -- Why are there little gates by the baggage claim, WHO ARE THOSE GATES REALLY STOPPING??? It just makes it more difficult for anyone with actual luggage to leave the luggage area. Ok, rant over. Not a horrible airport but it could be better.",Before
33," Three Good Things About Austin's Airport:1. There were about seven people in front of us when we got to the security line. Predictably, we got through quickly. This is good.2. There was a live band at the gift shop. I don't think that airport gift shop is the most coveted gig in the city, but they were actually not bad.3. The Salt Lick. To be fair, we were actually BBQ'd out* at this point and we didn't go for it, but I take comfort knowing there is smoked meat nearby.____________*By 'we were BBQ'd out' I mean 'my wife was BBQ'd out and I always do everything she tells me to do.'",Before
34, Great airport but the TSA security needs to step it up. Way too many people flying in and out of here and TSA is staffing this place like it's a backwater po dunk town. Make sure you give yourself plenty of time to get through security.,Before
35, This airport is speedy for the most part with their security check points and they have the most polite and friendly TSA officers. I can also vouch for their long term parking...easy to figure out and shuttles pick up every 2 minutes! The austin airport has yet to disappoint me.,Before
36," Very straightforward airport with easy access from one gate to another.  Plenty of food options, including the great BBQ joint Salt Lick.  All of the good food options are post-security.  A few of the places had live music which was nice during a layover.  There's also an AA Admiral's club and United club within the terminal.",Before
37," Ive flown out of ATX a few times and flown into ATX a few times before I lived here. I enjoy that they have a few cool places to eat, i.e. The salt Lick and Amy's Ice Cream and lots of cool places to buy memorabilia. I enjoy also that they have the cell phone parking lot so you can chill till your party notifies you that they are ready for pick up. The cell phone lot has  the board notifying you of any delays, departure and arrival times etc. bathrooms. So very wait friendly. And you get signal service, hence the cell phone lot! No need to circle and circle and circle and what's that? oh yes, that's right...circle again. We flew out of here on our honeymoon to Italy. What sucked is they took forever in checking us in but never really explained what the hold up was?? But all was fine and we boarded our plane on time and even got to sit together which was not the case on the flights home. Oh and my luggage was on vacay in Europe a week longer than me with a 20 hour layover in Atlanta with no luggage! yay for sleeping in a hotel with no clothes to change into after showering! At least I felt like I was starring in my own hell version of planes, trains, and automobiles. or in this case planes, shuttles and Trams. Very nice guy let me know there was nothing I could do but call some number daily and check some Delta website. I finally called and explained because I carried on my bag *yes on my honeymoon* this suitcase had my medicine on it because I never expected to have to check. I carried my bag on al the way to Italy... er well till I switched planes from France to Italy. The above head bins on AirItalia are much smaller than Air France or KLM -or Delta for that matter. So they force you to check your bag. ergo... I was without my meds. A week later I got the call my bag was back stateside and ready to be delivered to me which could be prolonged or I could go pick it up myself. sounds easy enough? wrong = construction - parked car, waiting in line to reclaim my bag - took over an hour and a half. wow. If this happens to you, just let them deliver it.",Before
38," I love love love this airport! I don't know if I'm just partial to it because it's my hometown or because of the awesome vibe that I feel whenever I step foot in this airport. Honestly, this airport is on the smaller side especially now that Austin is getting super crowded. The good thing though, is that there is a good long stretch of road for both departures and arrivals so it's not as stressful when getting in and out. Another great thing I noticed is that this airport by far has the closest Cell Phone Lot to the terminal. Inside, you'll find a great many options for food and stuff to do. There are sculptures and paintings and a really great book store. The food, oh man, I really enjoy the fact that there are so many local staples to be found. Salt Lick BBQ and Amy's Ice Cream cannot be missed! Overall, it's not a bad place to hang around while waiting for a flight and I'm always excited to fly out to Austin.",Before
39," I don't love airports, but as far as airports go I am glad this is my home airport.  I travel all over the world and it's nice to come home to this one.Easy in and out.I wish it was relocated a bit more North like in Hutto.",Before
40," If you're hungry you have to go to Thundercloud Subs, they offer great tasting subs with real ingredients, local flavor and no hiked up airport prices! Its the same price there as it is in town!!",Before
41, Austin Airport is one of my favorite airports I like to pass thru or come to when I'm in TX. I usually get a rental car here and drive to other destinations within the state. Hanging out at the blues clues and catching good jazz bands whenever can.,Before
47," For a major airport their security lines are abysmal.  I understand they will be opening a new security checkpoint soon,  but in the mean time,  get there early!",Before
48," The Austin Airport is the gateway to Austin and Texas Hill Country and will be your arrival and departure point for your adventures. The airport is fairly close to downtown with good freeway access. Arriving baggage took longer than average even though it seemed like the overall distance was shorter. You must go upstairs to get your rental car on the top of the parking garage, but I recommend crossing at the baggage claim level if it is raining since there is a covered walkway missing on the top level.Departing was a breeze with easy rental car directions and quick security. The departure terminal was pretty nice with lots of good food and shopping options. I found a nice Southern place serving tasty fried chicken with real mashed potatoes and gravy. There was a lack of functional charging outlets in the gate area, and finding the restrooms took a while. Plus, where is a food truck? Seriously, put an airstream in the terminal and rake in the cash!I will return to Austin, and I will return to this airport. The location is just too convenient to pass up.",Before
49," Decent airport, though the checkin and security lines are awfully long for an airport of this size (at 6am), and they're behind the times and don't seem to have ANY fountains for filling your water bottle. Join the 21st century, folks!",Before
50," Not really a fan of this airport anymore.Too cramped and where is my Starbucks? I'm happy to support local and independents, but no Starbucks here? Not so bueno.Decent food selections here but all of the shops look the same selling the traveler crap.",Before
51," Nice, but already seems obselete due to the massive population growth in Austin.  Seems like they need to start expanding and now!Terminal is nice...airy and open.  Food options are great.  Fairly easy to get in an out.  Tip:  The 100 bus is a great alternative to renting a car in Austin.  Good schedule and it'll take you right downtown. Only $1 USD",Before
52," We flew out of Bergstrom to The Big Easy and because of bad weather at our stopover in Dallas, we spent a lot of time here and i may have visited half the food places and all the shops.  The one thing that I feel needs improvement is the signage to and from all the parking lots, we parked in lot A and a seasoned ABIA traveler led us to the terminal, we had the same problem finding lot A on our return, don't laugh...you'll get old too some day....and i was born geographically challenged.",Before
53," What is there not to love about the Austin Airport!? As a native Austinite, I love all the local businesses and the ease of just about every aspect this airport boasts. I believe that there are TSA pre-check points now at every location. Parking is only $7-8 daily in the long term lot and it is an easy walk to the terminal if the weather is nice. I spend a lot of time at the United Club and the staff there is all very friendly and helpful.",Before
54," Clean bathrooms, not too large. Minus one star bc NOTHING was open past 9pm. if you have a late flight, make sure to bring your snacks and drinks with you. They do have a salt lick bbq inside,  but we didn't get a chance to try as it was closed. So sad.",Before
55," Small airport for the size of city, I thought, though reasonably laid-out. On the air side the gates are all laid out in one long arc, so it's pretty simple to find what you're looking for.Except if what you're looking for are the airline lounges. They're all down at one end, though there are no signs until you're right there. You have two outlets for the excellent Salt Lick barbecue restaurant here, a great way to have a final taste before flying out.",Before
56, I travel a fair amount around the country and I find Austin's airport to be good but not one of the best. They do a great thing by only having local companies provide food services  and they have a bar area that even has live music.  The baggage wait time is one of the best in the country and the rental car is a non shuttle in airport which is awesome.  Once we can get some real direct international flights in and out this will be one of the best airports in the country,Before
57," Well, I left my 2013 pristine Kia Rio there in the Long Term parking C18 Space 50 and I thought Hmm right at the end of the row easy to find......Dumb...!Grass Clippings all over the side and a lovely paint scrape to match.I guess the weed whacker guy was having an off day",Before
63," This is a great airport! (*Please note that my place of departure is Chicago O'Hare, one of the most nightmarish airports in the country...) Its small size makes it manageable in many ways. TSA was the least stressful experience I had ever been through, and they tell you via television screen as you're in line how long the wait will be. (For me in early afternoon on a Monday it was 4 to 8 Minutes.)Despite the small size, this airport doesn't scrimp on amenities. Satellite locations of many local restaurants are represented, from Amy's Ice Cream to Salt Lick BBQ to Austin Java and more. There are assorted shops for souvenirs, and a location of Book People (somewhat less impressive than the 4-story store downtown, but it makes up for this in convenience, haha).There is also a surprising array of vending machines. Need some makeup on the fly? There's a Benefit machine! Are you just arriving and need some flowers to give the person you're meeting? Boquets available in another machine (I saw it being restocked). Did you just decide once you got past TSA that you need a Kindle? There's a Kindle Kiosk (you didn't really want to interact with some clerk while buying your new toy, did you?)You can even chill out before your flight with a chair massage ($15 for 10, and up.)To me the coolest thing was the live musicians playing throughout! There's a stage near the Salt Lick BBQ/Ray's Roadhouse food booths, and further down another musician was playing outside another eatery (I could hear him down at my gate too). :) They say that at any time of day or night you can hear live music somewhere in Austin, and that obviously includes the airport!I hope to come back to Austin soon, and when I do, I know I won't dread the airport. O'Hare (and others) can take a lesson!!",Before
64," This airport is small in size.  This makes it easy to find out where you are and where you want to go.The free WiFi has a cheesy login.  You are forced to answer a few questions like ""do you have a motorcycle"".  I think if you have a motorcycle, they will not let you on the internet, so always answer ""no"".",Before
65," I love this airport.. I know Austin is growing. so im assuming at some point it will have to expand. TSA agents are nice. its really only 1 terminal, no trains/shuttles to other areas. Austin is ""keep austin weird"" - so local places to eat. ( schlotzskys , salt lick, maudies, etc)    for the most part everyone seems like they really enjoy their jobs!( im not a seasoned traveler , i usually fly 2 - 3 times a year)",Before
66," Fly any airline except Frontier, you'll be good to go. Frontier has a skeleton crew at odd hours and they're intentionally unhelpful. Good food choices, short lines at security, and local Austin weirdness make a great super cute airport!",Before
67," The airport is nice, there is actually a lot of non-chains as far as your selection for food goes. The airport has a lot of the local food selections from around austin, which really makes its pretty nice for the people to are not familiar with austin. Its one of the cleaner airports ive been to also.",Before
68," Super easy, low-hassle airport. Lots of food options beyond security. Quick ride to downtown. I'm not sure what else you really want from an airport, people.",Before
69," By far the best airport you will ever go to.I travel a lot for work and I am so thankful to live in Austin. Fast security lines (I have pre-check but honestly the other lines are not bad at all either), great food options (all local Austin!), water re-fill stations (hate that DFW has not caught onto this trend yet), comfortable seating areas with plenty of plugs, and so much more.Also, it is ONE terminal and completely walk-able. I can not get enough of this place and am so happy it is my second home. Only thing I wish they had was a lounge for those of us with Priority Pass (through AMEX). Seriously if this place had a Centurion Lounge it would be a dream come true. THANKS ABIA!",Before
70," Not a bad airport.  The TSA was very friendly and efficient.  The rental car area is within walking distance of the terminal.  The food options seemed pretty standard, but they had a nice bar with live bands if you have time to kill.  They also had a branch of Waterloo Records in the airport if you have the itch to buy an overpriced album.",Before
71," Always a lover of ABIA. It's small enough to be super accessible (no trams/trains to take here!) to every hate, they offer TSA precheck which is good, and they have all kinds of Austin restaurants inside which is spot on with the Austin motto of Keep Austin Weird. Manga pizza, Schlotzkys deli, Hill's Cafe, Austin Java, Waterloo, Earl Campbell's, Vino Volo, etc. You can get an airport priced alcoholic beverage at Earl Campbell's bar. I recommend the margarita. Yum! About $10 after taxes but before tip.They have a neat art exhibit at the baggage claim as well as pieces throughout the terminals, comfortable enough/large seating while waiting to board, and tons of windows which means light flooding in even on the dreariest of days. Lots of plugs in the walls in case you need a quick charge on your phone! I fly frequently and this is one of my favorite airports other than Seoul Incheon which is gorgeous.",Before
72," Overall it's an ok airport, but the food choices are not as good as people think.Coffee choices are terrible.And please please please could you turn on the A/C once in a while, this airport is always so hot and humid inside.Not an ideal environment before one gets on a flight",Before
78," it's an airport... what do you expect? pretty busy... clean... nice.... i've had few layovers here also, and i didn't have trouble finding an outlet to charge my devices... so that's a plus!",Before
79," Too far from the gates to baggage for handicapped folks. And, it's hard to get a wheelchair. It's Before 9:00 pm and all concessions are closed...you can 't even get a bottle of water!Cool guitar exhibits though.",Before
80," Had my first flying experience flying out of ABIA! All processes of getting on the plane seemed to run smoothly for me, Heather however had more of a struggle. Apparently, there is some luxury makeup that she wears that sets off the chemical alarm when you're going through security. This led ABIA to search through all of her belongings(disorganizing most of it, ugh) and taking her into the full pat-down room. She says it's happened before and that she forgot not to wear that line of makeup. We flew Allegiant to save moolah and the flight was about 30 minutes behind schedule...not sure who to blame on that one. The convenient store food is unsurprisingly high, but they do have protein bars which was great. They have stellar mini-restaurant selections as well, so if you're hungry you should be able to find SOMETHING. My coffee fell out of my hand and spilled everywhere and within minutes they had  custodial personnel cleaning it up (they're on top of it).",Before
81," Best airport in America. Fast coffee stand. $2.00 make it yourself and go from Austin Java! How fast can you get service in another airport. Super clean, super friendly and totally love it when the pilot says "" Now arriving in Austin. Texas""",Before
82," Rental car pick up/drop off was a bit confusing. TSA checkpoint was a breeze. The heat was on full blast, I guess I can understand that considering it was around 40 degrees in Texas. Lots of stores and live music make flying into/out of Austin-Bergstrom International Airport worthwhile!",Before
83," good airport; clean, nice food selection. swift security, modern feeling. definitely world class, but still feels like 'home.'",Before
84," Small, limited food options and few flights. I wanted to eat here but every place has pretty bad reviews on yelp. Just got a $2.99 Kind bar instead :|The plus is that because it is small, you can get through here really quick. I'm worried that this airport is going to be horrible if they don't expand soon, Austin is growing so fast it might not be able to keep up.",Before
85," This is a nice airport. It's incredibly clean and everyone is friendly. I love that they have live music! What a great representation of this musical city. There is beautiful artwork around the terminal as well. Overall, I would say it's not a bad place to have a layover.",Before
86," I love how you immediately know where you are when you step off the plane. It's super unique, with live music, Texas/Austinite art, and delicious food. It's a great place to fly in and out of or have a layover.",Before
87," Pros: Nice and fast check-in Cons:-Too darn small and not enough flights.  Some of you guys comment on the food, ambience, etc.  Seriously?-5x I've flown to NYC and had to stop at either Dallas, Orlando, Chicago or SAN FRANCISCO???  Layovers suck and it actually costs more money because you're paying from that flight to those layover cities too.-Flying international is a nightmare coming out of this airport.  Checked for flight to Brazil from here compared to DC/NY/Chicago.  We are technically closer.   Takes 10-12 hours to fly to Brazil for half the price.  Takes 24-48 hours to fly to Brazil for TWICE the price.-This city and airport are too slow to react to the demand of this growing and densed population.  Stop building the parking lots outward, starting building it upward!",Before
93," Great airport to come through since it's not so huge that it's overwhelming, and it's still small enough that you can race through from one end to the other. There's a good amount of food spots to choose from and if you didn't get your fix of BBQ before you left, you can still stop by to get some from Salt Lick.What I thought was really awesome is that there's a stage in the middle so that you can hear local performers while you wait for your flight! Leave it to Austin to be awesome like that :)",Before
94," Not sure how to write a review for an airport. After being notified that my flight was cancelled after I got to the airport, a few of my friends and I are just sitting and eating. - good amount of places to eat including salt lick bbq! (Other food types include Mexican, Chinese, American, froyo, coffee, and more)- the security check lines aren't terrible depending on when you go. Obviously not the best to travel during holidays. - long term parking is $7 per day. Shuttle service takes you to the terminals.",Before
95, Was only here for an hour to pick up more pax to head over to DC. Our flight was early and I stepped out to crab some food. This airport is fairly clean and various types of good selections. Felt like I was at a food court in Westfiled's malls. I headed over to auntie Anne's soft pretzels cz fresh baked pretzels smells so good. Then I headed to A little coffee shop and ordered an ice mocha to go with my cinnamon pretzel nuggets. The ice mocha wasn't sweet enough for me.,Before
96," As far as airports go, this one is a snap. Rarely are there long lines unless it's a major travel day. Beware of ACL, SXSW and Formula 1 crowds. Those events can bog this smallish airport down. There are good shops and food options. I will say that this airport has some of the more expensive wares that you'll encounter. Most places close up at 8ishSecurity is pretty efficient and I rarely need more than an hour advance arrival. Needs more direct flights, but that's more a carrier issue.",Before
97," I never appreciated Austin's airport until now! I stepped off the plane and walked into some live music in the center of the airport. It made me think of what you would see in the movies if a character was getting off the plane and entering the Live Music Capital of the World for the first time. Perfect scene, and good vibes all around!",Before
98," Love airport parking, long term parking is only $7/day. Affordable for a cheap student like me. Shuttle bus staff is always helpful and polite, they will give you a card so you won't have to worry about forgetting where you parked. It's not a gigantic airport and I love it since I have no sense of direction at all. Live music occasionally to show Austin's spirit.  Try out local restaurants near Gate 12/13, ice cream before your flight is always a great idea.",Before
99," ABIA, don't you ever change! Even with as much as Austin has grown, I still love the fact that, for the most part, I can arrive 45mins before my flt and still have time to spare!I have never eaten at any of the food stops, in the terminal, but they look like better fare offerings than you would find at other, bigger airports. I have also found that gate staff and TSA agents are also, for the most part, friendlier here than at most major airports.And finally, they have free wifi, because for the longest time that was not the case at ABIA. For the first time ever, my home airport is one of my favs to fly out of! Also love that for $2.50 I can take the bus, with only one transfer, from my apt to the ABIA Cap Metro bus stop and not have to deal w/the terrible ATX traffic  overpriced airport prkg!",Before
100," Probably one of the nicest domestic airports I've ever seen. There is only one terminal and there are tons of options for good food, drinks and coffee. The food options are gourmet ones at that. I don't remember seeing a well known fast food restaurant in the whole place except Schlotsky's Deli. Most of the places are local establishments that opened up an additional post at AUS like Salt Lick (BBQ) and Amy's Ice Cream. The decor is also contemporary and fun. My wife mentioned it reminded her of a cross between Zurich International and the newly renovated Cabo San Lucas aiport. I couldn't agree more. It was pretty cool.The security line also is efficient and wasn't long at all when I arrived for my morning flight. No complaints. However what I was most impressed with is the ease at which you can retrieve and drop off your rental car. The car rental booths are right by baggage claim and you take a quick escalator ride to a second level and you are in the parking lot and good to go. This has become my favorite airport but I won't be coming here often unfortunately. Austin is getting too big, too fast.Free Wi-Fi too.",Before
101," No line at TSA? What? TSA agents were super nice!And American Airlines representative was nice? He actually waited next to the kiosk to help me in case I had any questions? Double what?There's a BBQ place - Salt Lick inside, where you can buy BBQ by the lb and gift sets of BBQ sauces :)Also, this is one of the two places that we found in Austin that sells I *heart* TX shirts!Definitely need to get those next time I come in.Clean inside, super nice staff, lots of yummy food places! Oh! And LIVE music.Try Annie's raspberry scone if you feel like something sweet.The flights leave on time! Seriously, only in Texas! Californian flights are ALWAYS late.Oh, and my bag was out before even before I got to the baggage claim.",Before
102," Austin airport is doing it right! Clean and modernGreat representation of local restaurants, businesses, coffee shops, art work, and music!Quick and easy parking optionsRelatively efficient security lines and baggage claimVariety of seating options at Southwest gates (comfy club chairs, bar height tables for using laptops, plenty of outlets)Convenient cell phone lotFree wifi would be great, but beggars can't be choosers. They do have a wifi connection, which you can use if you have Boingo or a few other services.",Before
108," Nice compact airport, looks updated recently. Decent places to eat and relax. Easy to navigate, and not too much walking involved. So much nicer than LGA, for example!",Before
109," Its asmall airport, and you are in and out super fast. I was the only one in the TSA line. It was amazing. Stores closed early though. So that was a bummer.",Before
110," Decent airport. Easy to get through, plenty of shops/eateries. Not a fan of having to get water at a separate place than mags. Also, no TVs except in bars. It's football Sunday, seriously?",Before
111, I met Paul Rudd at ATX airport a few years ago and took a picture with him. True story. BOOM!,Before
112," They've done quite a bit in the last few years to update the airport and to try to make it easier to use.  They are in the midst of a large expansion of the parking areas and optimizing the internal space.  The biggest and most significant change for me was finally adding TSA Pre-check lanes to the mix.  While its still not 100% smooth going through security, its orders of magnitude better as has the attitude of most of the staff.Another change is more restaurants, stores and food options, though the lines for some are absurd.  Take the Austin Java near the American gates, you can spend 20 min there just getting a coffee.All in all the airport is making great progress and I look forward to future improvements like maybe taking a train there someday.",Before
113," The airport used to be a great place to go.  After they installed the body scanners its now a regular cluster F.  As a person who doesn't like my rights violated on a regular basis I opt out of the scan of my innards on every flight.  While the people who do this are usually amazingly nice, the process and procedure are beyond reproach.  Hopefully we will soon come to our senses again and ban these horrible machines.  On the upside if you are going somewhere be sure to stop by Salt Lick and pick up a fully cooked brisket to surprise whomever you are going to see.    It always goes over well and the food is great. Another upside is the presidents club upstairs.  If you need a quiet place to retreat after getting your junk handled this is the best bet.",Before
114," Not a bad airport, Like that's its some what small and still has enough for a layover .I got deverted in this airport because of fog.  Was on my way to Houston and this is were the story goes real south.. Had to jump on another 737 to dallas then Ft Lauderdale. Well are 737 came in broke and waited in dallas for 5 hours. Got into florida at 1130pm. Flights from hell. I will never fly for a vaction during x-mas time again. love doing the texas tour...",Before
115," Best airport I've ever visited. Been here twice and enjoyed it both times. People are super friendly and helpful, really different from what I was used to back in NY. Car rental people are also friendly and helpful. This airport gives a great first impression of Austin.",Before
